ma;Chuyển phát HCC
4670;186076135,4
4673;24000000
4672;24000000
4675;36000000
4741;24465408
4671;24000000
4676;98518855,31
4680;28800000
4654;24000000
4600;1241903252
4650;24000000
4652;24000000
4655;24000000
4601;27340416
4651;24000000
4653;24000000
4685;12000000
4683;12000000
4682;401124206,1
4687;12000000
4686;36000000
4742;36000000
4688;107398242,4
4744;12000000
4691;36000000
4689;12000000
4695;28800000
4702;28800000
4692;35304987,72
4699;28800000
4706;36000000
4708;24000000
4705;36000000
4707;24000000
4704;370730585,9
4734;30700896
4614;24000000
4731;430638168,5
4732;12000000
4613;24000000
4612;12000000
4615;12000000
4602;723288750,1
4606;12000000
4607;36000000
4604;12000000
4608;12000000
4605;12000000
4603;36000000
4659;30731788,8
4658;491252111,7
4660;24000000
4623;24000000
4622;25963200
4735;24000000
4621;25141344
4648;65281248
4644;38626752
4720;535329409,2
4718;60000000
4647;24000000
4719;72724032
4645;68796000
4739;129208800
4636;12000000
4632;3197346217
4631;2178634431
4633;28453056
4635;36000000
4634;36000000
4668;12000000
4669;12000000
4667;12000000
4664;12000000
4663;36000000
4666;12000000
4665;12000000
4637;36000000
4740;699764690,9
4737;12000000
4640;12000000
4639;274256105,2
4712;19200000
4709;275636893,4
4710;19200000
4641;45600000
4747;136060269,8
4657;60000000
4616;318744537,2
4617;32664480
4629;24000000
4628;24000000
4630;12000000
4627;36000000
4625;275591452,6
4736;24000000
4661;12000000
4721;45600000
4723;183224738,5
4726;28800000
4716;12000000
4643;350373533,9
4717;36000000
